X,Y,COND1,COND2,COND3,COND4,COND5,COND6
52.82496981,154.2615467,4.06423,18.7517,18.58644,15.24392,13.77086,12.03835
53.82166736,154.2615467,3.93416,17.7468,17.78812,14.73828,13.39718,11.8028
54.8183649,154.2615467,3.8041,16.74189,16.98979,14.23263,13.02351,11.56725
55.81506244,154.2615467,3.67403,15.73699,16.19147,13.72699,12.64984,11.3317
56.81175999,154.2615467,3.33038,14.69047,15.31605,13.13796,12.18006,11.02153
57.80845753,154.2615467,2.52109,13.55325,14.27255,12.36714,11.50075,10.54867
58.80515508,154.2615467,1.7118,12.41603,13.22905,11.59631,10.82145,10.07581
59.80185262,154.2615467,0.90251,11.27881,12.18554,10.82549,10.14215,9.60294
60.79855016,154.2615467,0.25894,10.35311,11.36822,10.24354,9.64794,9.26529
51.82827227,153.2598483,4.03761,19.17888,18.54184,14.91443,13.22675,11.57295
52.82496981,153.2598483,3.87719,18.67109,18.36427,14.97914,13.45137,11.78655
53.82166736,153.2598483,4.09368,18.33923,18.09846,14.80908,13.324,11.70556
54.8183649,153.2598483,4.31017,18.00737,17.83265,14.63901,13.19662,11.62458
55.81506244,153.2598483,4.52666,17.67551,17.56684,14.46895,13.06925,11.54359
56.81175999,153.2598483,4.40615,17.03652,17.04572,14.1283,12.80694,11.37394
57.80845753,153.2598483,3.55095,15.72793,15.96798,13.41573,12.25047,11.011
58.80515508,153.2598483,2.69575,14.41934,14.89023,12.70317,11.694,10.64805
59.80185262,153.2598483,1.84055,13.11075,13.81249,11.9906,11.13752,10.2851
60.79855016,153.2598483,1.08241,11.92972,12.85578,11.37015,10.66455,9.98107
61.79524771,153.2598483,0.54948,11.04465,12.17988,10.96342,10.3853,9.81372
51.82827227,152.25815,3.88282,19.12354,18.30403,14.61172,12.85127,11.27446
52.82496981,152.25815,3.69016,18.59047,18.14209,14.71436,13.13189,11.53474
53.82166736,152.25815,4.2532,18.93166,18.4088,14.87988,13.25081,11.60832
54.8183649,152.25815,4.81624,19.27284,18.67551,15.0454,13.36974,11.6819
55.81506244,152.25815,5.37929,19.61403,18.94221,15.21092,13.48866,11.75548
56.81175999,152.25815,5.48193,19.38256,18.77539,15.11864,13.43382,11.72635
57.80845753,152.25815,4.58081,17.9026,17.6634,14.46433,13.00018,11.47332
58.80515508,152.25815,3.6797,16.42265,16.55142,13.81002,12.56654,11.22029
59.80185262,152.25815,2.77859,14.94269,15.43943,13.15571,12.1329,10.96726
60.79855016,152.25815,1.90589,13.50633,14.34334,12.49676,11.68116,10.69684
61.79524771,152.25815,1.09912,12.17112,13.28412,11.82705,11.18742,10.38609
62.79194525,152.25815,0.29235,10.83591,12.2249,11.15734,10.69368,10.07534
63.78864279,152.25815,-0.51442,9.5007,11.16568,10.48763,10.19994,9.76458
50.83157473,151.2564516,4.53591,20.16243,18.55473,14.31969,12.18556,10.67161
51.82827227,151.2564516,3.75706,18.93405,18.0056,14.30667,12.51005,11.01221
52.82496981,151.2564516,3.48669,18.36166,17.83858,14.42661,12.82393,11.3018
53.82166736,151.2564516,4.25945,19.13508,18.45549,14.81929,13.11607,11.48675
54.8183649,151.2564516,5.0322,19.9085,19.0724,15.21198,13.40821,11.67169
55.81506244,151.2564516,5.80496,20.68192,19.68931,15.60467,13.70036,11.85664
56.81175999,151.2564516,6.06765,20.75625,19.78978,15.7008,13.80383,11.93507
57.80845753,151.2564516,5.21828,19.30645,18.76434,15.15041,13.49599,11.7813
58.80515508,151.2564516,4.36892,17.85664,17.7389,14.60002,13.18815,11.62752
59.80185262,151.2564516,3.51956,16.40684,16.71345,14.04963,12.88031,11.47374
60.79855016,151.2564516,2.64241,14.91217,15.60442,13.40866,12.46799,11.23882
61.79524771,151.2564516,1.70079,13.31342,14.30143,12.55757,11.81328,10.81563
62.79194525,151.2564516,0.75916,11.71467,12.99845,11.70648,11.15857,10.39244
63.78864279,151.2564516,-0.18246,10.11591,11.69547,10.85539,10.50386,9.96925
64.78534034,151.2564516,-0.9805,8.96958,10.72462,10.19327,9.96743,9.61192
49.83487718,150.2547533,5.72125,20.71656,18.60927,14.05165,11.68552,10.23344
50.83157473,150.2547533,4.72168,19.52079,18.06343,14.02297,11.98072,10.54837
51.82827227,150.2547533,3.7221,18.32503,17.51759,13.9943,12.27592,10.86329
52.82496981,150.2547533,3.23181,17.66942,17.28071,14.06703,12.55199,11.12785
53.82166736,150.2547533,3.78635,18.12197,17.67767,14.34784,12.78882,11.28908
54.8183649,150.2547533,4.34089,18.57452,18.07463,14.62864,13.02565,11.4503
55.81506244,150.2547533,4.89543,19.02708,18.4716,14.90944,13.26248,11.61153
56.81175999,150.2547533,5.12083,19.08909,18.56727,15.00646,13.37051,11.69442
57.80845753,150.2547533,4.62863,18.29965,18.0061,14.70278,13.19775,11.60656
58.80515508,150.2547533,4.13644,17.51022,17.44493,14.39911,13.02499,11.51869
59.80185262,150.2547533,3.64424,16.72078,16.88376,14.09544,12.85223,11.43083
60.79855016,150.2547533,3.10698,15.78396,16.1572,13.64911,12.53623,11.23727
61.79524771,150.2547533,2.46518,14.50519,15.04691,12.87182,11.8879,10.79849
62.79194525,150.2547533,1.82337,13.22642,13.93662,12.09452,11.23957,10.35971
63.78864279,150.2547533,1.18156,11.94764,12.82633,11.31723,10.59124,9.92093
64.78534034,150.2547533,0.51761,10.90832,11.93108,10.69559,10.07737,9.57482
65.78203788,150.2547533,-0.20108,10.46116,11.5676,10.4589,9.896,9.45786
66.77873542,150.2547533,-0.91978,10.01401,11.20412,10.22221,9.71463,9.3409
49.83487718,149.2530549,6.12776,20.04232,18.11468,13.7706,11.50996,10.13586
50.83157473,149.2530549,4.90745,18.87916,17.57213,13.72626,11.77588,10.42512
51.82827227,149.2530549,3.68714,17.716,17.02958,13.68192,12.0418,10.71438
52.82496981,149.2530549,2.97694,16.97717,16.72284,13.70746,12.28006,10.9539
53.82166736,149.2530549,3.31326,17.10886,16.89985,13.87638,12.46157,11.09141
54.8183649,149.2530549,3.64958,17.24055,17.07687,14.0453,12.64309,11.22891
55.81506244,149.2530549,3.9859,17.37223,17.25388,14.21422,12.8246,11.36641
56.81175999,149.2530549,4.174,17.42193,17.34477,14.31211,12.93719,11.45377
57.80845753,149.2530549,4.03898,17.29286,17.24787,14.25516,12.89952,11.43182
58.80515508,149.2530549,3.90395,17.1638,17.15097,14.1982,12.86184,11.40987
59.80185262,149.2530549,3.76893,17.03473,17.05407,14.14125,12.82416,11.38791
60.79855016,149.2530549,3.57156,16.65575,16.70998,13.88956,12.60448,11.23572
61.79524771,149.2530549,3.22957,15.69696,15.79239,13.18606,11.96253,10.78135
62.79194525,149.2530549,2.88757,14.73816,14.87479,12.48256,11.32058,10.32698
63.78864279,149.2530549,2.54558,13.77937,13.9572,11.77906,10.67863,9.87262
64.78534034,149.2530549,2.01572,12.84707,13.13754,11.19792,10.18731,9.53772
65.78203788,149.2530549,1.0213,11.98028,12.56009,10.91938,10.06848,9.49825
66.77873542,149.2530549,0.02688,11.11349,11.98264,10.64083,9.94965,9.45879
67.77543297,149.2530549,-0.96753,10.2467,11.40519,10.36228,9.83083,9.41932
48.83817964,148.2513566,7.9753,20.49861,18.15935,13.54955,11.09777,9.7747
49.83487718,148.2513566,6.53426,19.36807,17.6201,13.48954,11.3344,10.03829
50.83157473,148.2513566,5.09322,18.23752,17.08084,13.42954,11.57104,10.30187
51.82827227,148.2513566,3.65218,17.10698,16.54158,13.36954,11.80767,10.56546
52.82496981,148.2513566,2.72207,16.28493,16.16496,13.34789,12.00812,10.77995
53.82166736,148.2513566,2.84017,16.09575,16.12203,13.40493,12.13432,10.89374
54.8183649,148.2513566,2.95827,15.90657,16.0791,13.46196,12.26052,11.00752
55.81506244,148.2513566,3.07637,15.71739,16.03617,13.519,12.38673,11.1213
56.81175999,148.2513566,3.22718,15.75477,16.12226,13.61777,12.50387,11.21313
57.80845753,148.2513566,3.44932,16.28607,16.48963,13.80753,12.60128,11.25708
58.80515508,148.2513566,3.67147,16.81737,16.857,13.9973,12.69868,11.30104
59.80185262,148.2513566,3.89361,17.34868,17.22438,14.18706,12.79608,11.34499
60.79855016,148.2513566,4.03614,17.52755,17.26276,14.13001,12.67272,11.23416
61.79524771,148.2513566,3.99396,16.88873,16.53786,13.5003,12.03715,10.76421
62.79194525,148.2513566,3.95178,16.24991,15.81296,12.8706,11.40158,10.29425
63.78864279,148.2513566,3.90959,15.6111,15.08806,12.24089,10.76601,9.8243
64.78534034,148.2513566,3.51383,14.78581,14.34401,11.70025,10.29724,9.50061
65.78203788,148.2513566,2.24369,13.49939,13.55258,11.37985,10.24096,9.53864
66.77873542,148.2513566,0.97355,12.21297,12.76116,11.05944,10.18468,9.57667
67.77543297,148.2513566,-0.29659,10.92655,11.96973,10.73904,10.1284,9.6147
68.77213051,148.2513566,-1.17623,10.01563,11.41895,10.52582,10.10618,9.65581
69.76882806,148.2513566,-1.02473,10.09624,11.5036,10.5956,10.17388,9.70505
48.83817964,147.2496582,8.3457,19.9633,17.80994,13.38775,11.03759,9.76095
49.83487718,147.2496582,6.79701,18.85902,17.2616,13.2985,11.22917,9.98659
50.83157473,147.2496582,5.24833,17.75473,16.71326,13.20926,11.42075,10.21223
51.82827227,147.2496582,3.69965,16.65044,16.16492,13.12001,11.61233,10.43787
52.82496981,147.2496582,2.61931,15.74828,15.71464,13.04384,11.76464,10.61883
53.82166736,147.2496582,2.49979,15.26078,15.46556,12.9945,11.83638,10.70811
54.8183649,147.2496582,2.38027,14.77328,15.21648,12.94516,11.90812,10.79739
55.81506244,147.2496582,2.26075,14.28578,14.9674,12.89582,11.97986,10.88668
56.81175999,147.2496582,2.3322,14.25754,15.00827,12.97139,12.08527,10.97331
57.80845753,147.2496582,2.81998,15.23055,15.68131,13.31926,12.2641,11.05417
58.80515508,147.2496582,3.30776,16.20355,16.35435,13.66714,12.44293,11.13504
59.80185262,147.2496582,3.79554,17.17656,17.02738,14.01502,12.62177,11.2159
60.79855016,147.2496582,4.18311,17.74287,17.33215,14.09419,12.56664,11.13488
61.79524771,147.2496582,4.33816,17.36561,16.78248,13.54993,11.96873,10.67828
62.79194525,147.2496582,4.49321,16.98834,16.23281,13.00567,11.37082,10.22169
63.78864279,147.2496582,4.64826,16.61108,15.68314,12.46141,10.7729,9.76509
64.78534034,147.2496582,4.36949,15.9079,15.03366,11.97876,10.34509,9.46645
65.78203788,147.2496582,3.01796,14.39874,14.13736,11.64847,10.33793,9.55841
66.77873542,147.2496582,1.66642,12.88959,13.24105,11.31819,10.33077,9.65038
67.77543297,147.2496582,0.31489,11.38044,12.34475,10.9879,10.32361,9.74235
68.77213051,147.2496582,-0.65275,10.29744,11.70854,10.7608,10.33128,9.81865
69.76882806,147.2496582,-0.60672,10.33969,11.75911,10.80616,10.37811,9.85359
70.7655256,147.2496582,-0.56069,10.38194,11.80967,10.85152,10.42494,9.88853
47.84148209,146.2479599,5.7948,17.98657,17.04841,13.53997,11.78335,10.48893
48.83817964,146.2479599,7.94175,19.94521,17.90815,13.53827,11.23697,9.92253
49.83487718,146.2479599,6.62638,18.84802,17.31343,13.37884,11.33596,10.07321
50.83157473,146.2479599,5.31101,17.75082,16.7187,13.21941,11.43494,10.2239
51.82827227,146.2479599,3.99564,16.65363,16.12398,13.05997,11.53393,10.37459
52.82496981,146.2479599,2.97513,15.68075,15.58859,12.9072,11.60697,10.49635
53.82166736,146.2479599,2.55952,14.96291,15.17495,12.76809,11.6268,10.55879
54.8183649,146.2479599,2.14391,14.24507,14.76131,12.62898,11.64663,10.62123
55.81506244,146.2479599,1.72831,13.52723,14.34767,12.48988,11.66646,10.68367
56.81175999,146.2479599,1.59352,13.27266,14.22148,12.46961,11.71103,10.73601
57.80845753,146.2479599,2.07098,14.0281,14.72199,12.70846,11.80953,10.76633
58.80515508,146.2479599,2.54844,14.78354,15.2225,12.9473,11.90803,10.79666
59.80185262,146.2479599,3.0259,15.53897,15.723,13.18614,12.00653,10.82698
60.79855016,146.2479599,3.3725,15.97897,15.94412,13.22544,11.93501,10.74095
61.79524771,146.2479599,3.4155,15.68712,15.51702,12.80175,11.46905,10.38498
