X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
9750,9000,0.0307,0.0361,0.0655,0.0467,0.1144,0.3056,0.3908,0.3858,0.455,0.0959,0.0113,0.2055,0.0984
9800,9000,0.0304,0.0347,0.0639,0.0449,0.1124,0.3135,0.3988,0.3915,0.4604,0.0946,0.0113,0.2065,0.0962
9850,9000,0.0293,0.0323,0.0592,0.0405,0.1056,0.3236,0.4176,0.408,0.4769,0.0945,0.0112,0.1987,0.0897
9900,9000,0.029,0.0316,0.0563,0.0389,0.0997,0.315,0.4117,0.4017,0.4677,0.0915,0.0111,0.195,0.0898
9550,8950,0.0295,0.03,0.0502,0.0378,0.0877,0.2845,0.3799,0.3697,0.4327,0.0884,0.0114,0.193,0.0877
9600,8950,0.0283,0.0325,0.0584,0.0411,0.1019,0.3011,0.3921,0.3859,0.4534,0.0926,0.0114,0.2014,0.0915
9650,8950,0.0294,0.0349,0.0634,0.0452,0.1114,0.302,0.3865,0.3821,0.4508,0.0937,0.0113,0.2027,0.0945
9700,8950,0.0301,0.0353,0.0641,0.0454,0.1118,0.3031,0.3907,0.3866,0.4567,0.0935,0.0112,0.204,0.0965
9750,8950,0.0302,0.035,0.0635,0.0449,0.1113,0.3016,0.387,0.3815,0.4507,0.0934,0.0112,0.2023,0.0956
9800,8950,0.0299,0.034,0.0615,0.0439,0.1097,0.3046,0.3885,0.3817,0.4494,0.0906,0.0112,0.2015,0.0934
9850,8950,0.0295,0.032,0.056,0.0415,0.1014,0.2941,0.3748,0.3656,0.4289,0.0848,0.0112,0.1973,0.0912
9900,8950,0.0298,0.0326,0.0524,0.0427,0.0926,0.2591,0.3299,0.3213,0.3764,0.0759,0.0111,0.2014,0.0983
9350,8900,0.0348,0.0451,0.067,0.0857,0.124,0.2288,0.2865,0.2864,0.3416,0.0745,0.0113,0.2753,0.1556
9400,8900,0.0372,0.0505,0.0739,0.102,0.1391,0.2228,0.2755,0.277,0.3343,0.0783,0.0114,0.2932,0.1705
9450,8900,0.0376,0.0516,0.0747,0.1058,0.14,0.2114,0.2615,0.2637,0.3196,0.0779,0.0114,0.296,0.1745
9500,8900,0.0342,0.0411,0.0618,0.0733,0.1125,0.235,0.3003,0.2979,0.3546,0.0807,0.0115,0.2466,0.1343
9550,8900,0.0301,0.0323,0.0555,0.0429,0.0972,0.2833,0.3696,0.3636,0.427,0.0873,0.0114,0.2042,0.0953
9600,8900,0.0289,0.0339,0.0615,0.0448,0.1074,0.2854,0.3634,0.3594,0.4247,0.0888,0.0114,0.2036,0.0945
9650,8900,0.0296,0.034,0.0609,0.0453,0.1064,0.2742,0.3453,0.34,0.4027,0.0869,0.0113,0.1992,0.0938
9700,8900,0.0301,0.0352,0.0625,0.0467,0.1089,0.2843,0.3618,0.3572,0.422,0.0868,0.0112,0.2025,0.0966
9750,8900,0.0304,0.0343,0.0604,0.0451,0.1069,0.2883,0.3682,0.3628,0.4277,0.0873,0.0112,0.2052,0.0969
9800,8900,0.0303,0.0331,0.0555,0.0446,0.1003,0.2702,0.342,0.3348,0.395,0.0816,0.0112,0.2106,0.0995
9850,8900,0.03,0.0327,0.0503,0.0452,0.0901,0.2212,0.2761,0.2691,0.3197,0.0706,0.0112,0.2075,0.1024
9900,8900,0.03,0.032,0.045,0.0443,0.0793,0.1713,0.2112,0.2065,0.2464,0.0598,0.0112,0.1997,0.1041
9200,8850,0.0288,0.0305,0.042,0.0438,0.0702,0.1481,0.1828,0.182,0.2187,0.0541,0.0111,0.2188,0.1297
9250,8850,0.0291,0.0302,0.0408,0.0442,0.0682,0.1384,0.1731,0.1724,0.2084,0.0522,0.0111,0.2342,0.1423
9300,8850,0.0295,0.0311,0.0442,0.0454,0.0759,0.1774,0.2258,0.2252,0.2666,0.0574,0.0112,0.2309,0.1315
9350,8850,0.0305,0.0332,0.0513,0.0494,0.0916,0.2372,0.305,0.3029,0.3557,0.0698,0.0112,0.2276,0.1185
9400,8850,0.0322,0.037,0.0579,0.0594,0.1057,0.2584,0.34,0.3383,0.3993,0.0808,0.0113,0.2282,0.12
9450,8850,0.0331,0.0402,0.0612,0.069,0.1117,0.2433,0.3185,0.3152,0.3767,0.0848,0.0114,0.2329,0.128
9500,8850,0.0315,0.0361,0.057,0.0555,0.1012,0.254,0.3321,0.3253,0.3872,0.0864,0.0114,0.2151,0.1106
9550,8850,0.0298,0.0332,0.0586,0.0442,0.102,0.2804,0.3619,0.3568,0.422,0.0889,0.0114,0.2045,0.0957
9600,8850,0.0296,0.0333,0.0589,0.0442,0.1031,0.27,0.3406,0.3369,0.3979,0.0848,0.0114,0.2007,0.0943
9650,8850,0.0304,0.0342,0.0561,0.0467,0.0981,0.25,0.3112,0.3051,0.3603,0.0792,0.0113,0.2076,0.1
9700,8850,0.031,0.0355,0.0586,0.049,0.1035,0.2613,0.3253,0.3193,0.3756,0.0779,0.0112,0.2156,0.104
9750,8850,0.0308,0.0344,0.0562,0.0469,0.1007,0.2581,0.3234,0.3172,0.3726,0.0767,0.0112,0.214,0.103
9800,8850,0.0305,0.0335,0.0509,0.0475,0.0919,0.2165,0.2695,0.2648,0.313,0.0687,0.0112,0.2169,0.1075
9850,8850,0.0301,0.0324,0.0444,0.0468,0.0795,0.1561,0.1906,0.188,0.2257,0.0579,0.0112,0.2058,0.1084
9900,8850,0.0299,0.0306,0.0399,0.0433,0.0709,0.1303,0.1581,0.1566,0.1883,0.0507,0.0112,0.196,0.107
9000,8800,0.0292,0.0317,0.0495,0.0433,0.0864,0.2473,0.3196,0.3144,0.371,0.0778,0.011,0.2092,0.1033
9050,8800,0.0304,0.0349,0.0526,0.0513,0.0916,0.2336,0.2973,0.2925,0.3476,0.0764,0.011,0.2335,0.1265
9100,8800,0.0308,0.0349,0.0514,0.0524,0.09,0.2066,0.2607,0.2572,0.3069,0.07,0.011,0.2332,0.1274
9150,8800,0.0298,0.0309,0.0426,0.0441,0.0723,0.1572,0.1954,0.1935,0.2309,0.0599,0.011,0.2037,0.1159
9200,8800,0.0292,0.0293,0.0376,0.0423,0.0617,0.1146,0.1406,0.1404,0.1717,0.0501,0.0111,0.2199,0.1404
9250,8800,0.029,0.0298,0.0384,0.0445,0.0636,0.1152,0.1438,0.1447,0.1766,0.0474,0.0112,0.2439,0.1561
9300,8800,0.0291,0.0299,0.0392,0.0441,0.0655,0.1309,0.1657,0.1651,0.2006,0.0503,0.0111,0.2439,0.1525
9350,8800,0.0295,0.031,0.044,0.0449,0.076,0.1807,0.2342,0.2306,0.278,0.062,0.0111,0.2355,0.1368
9400,8800,0.0302,0.0325,0.0524,0.0433,0.0921,0.2715,0.3658,0.3618,0.4253,0.0801,0.0112,0.2049,0.1039
9450,8800,0.0305,0.034,0.0558,0.0437,0.0968,0.2968,0.4005,0.393,0.462,0.0928,0.0113,0.1946,0.0944
9500,8800,0.0299,0.0326,0.055,0.0406,0.0943,0.2992,0.4036,0.3943,0.4641,0.0949,0.0113,0.2021,0.0948
9550,8800,0.0297,0.0334,0.058,0.0432,0.1009,0.2903,0.3784,0.3721,0.4388,0.092,0.0113,0.2126,0.0995
9600,8800,0.03,0.0329,0.0539,0.0448,0.0952,0.2482,0.3132,0.308,0.3643,0.0811,0.0113,0.2078,0.101
9650,8800,0.0309,0.0359,0.0538,0.0538,0.0952,0.2109,0.2606,0.2562,0.3047,0.0704,0.0112,0.2246,0.1138
9700,8800,0.0314,0.0354,0.0532,0.0521,0.096,0.2113,0.2595,0.2562,0.3031,0.0659,0.0111,0.2255,0.1129
9750,8800,0.0307,0.0335,0.0492,0.0481,0.09,0.1969,0.2418,0.2376,0.2818,0.0628,0.0111,0.2144,0.1079
9800,8800,0.03,0.0324,0.0444,0.0475,0.0814,0.1585,0.1933,0.1912,0.2294,0.0566,0.0111,0.2094,0.1088
