X,Y,K,U,Th,TC
9750,9000,29.44845,16.00894,7.11084,524.35757
9800,9000,27.32727,15.17689,6.84403,484.46707
9850,9000,24.38301,13.61349,6.3852,430.21533
9900,9000,21.32216,11.33647,5.74472,367.70954
9550,8950,23.71793,11.37749,5.3442,494.51061
9600,8950,21.96556,10.72953,4.14189,477.55211
9650,8950,21.41053,10.82489,3.52377,471.62891
9700,8950,21.42283,11.21481,3.35327,468.52041
9750,8950,20.56888,11.21306,3.32248,452.26383
9800,8950,18.05369,10.30229,3.21291,411.5764
9850,8950,14.74845,8.38506,2.97208,354.92201
9900,8950,11.53306,5.68785,2.61498,290.59466
9350,8900,35.82087,16.2975,11.29508,587.12862
9400,8900,31.26365,13.76298,9.30434,552.10541
9450,8900,25.84425,11.09648,6.89026,503.64673
9500,8900,20.32334,8.54225,4.34413,452.93139
9550,8900,16.31756,7.01817,2.42478,415.59129
9600,8900,15.01927,6.23114,1.15383,401.38638
9650,8900,14.76716,6.40042,0.42123,402.16325
9700,8900,14.87989,7.03599,0.25735,407.33146
9750,8900,14.03327,7.29833,0.30053,399.33407
9800,8900,10.64987,6.3538,0.36033,354.31954
9850,8900,6.98812,4.5068,0.309,293.0018
9900,8900,3.88114,1.72241,0.23335,229.06456
9200,8850,36.25574,17.80293,11.79392,508.03715
9250,8850,34.609,16.41642,11.06619,524.85879
9300,8850,32.84205,14.57827,10.16082,538.38606
9350,8850,30.52709,12.45921,8.98471,537.21911
9400,8850,27.00985,10.21039,7.34128,511.23747
9450,8850,21.86196,7.82561,5.06974,461.4193
9500,8850,16.00325,5.54573,2.59237,401.16439
9550,8850,11.45035,4.01593,0.67696,352.66116
9600,8850,11.62463,2.80888,-0.39531,340.72342
9650,8850,11.18218,2.84391,-1.32937,341.74555
9700,8850,10.46678,3.623,-1.73544,349.16795
9750,8850,9.40494,4.23903,-1.76012,350.00806
9800,8850,4.44645,3.43531,-1.59738,295.34836
9850,8850,1.09705,2.52211,-1.58424,232.08027
9900,8850,-1.13202,1.81741,-1.78477,174.64836
9000,8800,31.10128,15.26434,8.48795,411.68882
9050,8800,30.20494,14.29353,8.44179,401.21212
9100,8800,29.33898,13.42732,8.4746,394.51326
9150,8800,28.51184,12.57068,8.38581,395.87644
9200,8800,27.79397,11.85321,8.11259,412.06363
9250,8800,27.3214,11.29559,7.85153,447.40839
9300,8800,27.15611,10.57923,7.60035,486.61962
9350,8800,26.76321,9.30273,7.17423,508.90629
9400,8800,24.93268,7.83106,6.26452,497.25077
9450,8800,20.71698,5.71421,4.15044,446.039
9500,8800,14.80577,3.60226,1.72658,372.18329
9550,8800,9.40949,2.24236,0.00395,304.02662
9600,8800,12.16512,-0.02574,-0.69273,291.92391
9650,8800,9.85177,-0.06727,-1.84978,278.40272
9700,8800,6.52267,0.66928,-2.3518,267.60683
9750,8800,2.83891,1.12751,-2.41451,249.10221
9800,8800,-1.88249,0.7516,-2.28148,205.03339
9850,8800,-3.11213,1.20868,-2.24318,157.1403
9900,8800,-3.64325,2.56556,-2.65654,117.31998
8800,8750,28.15467,13.21144,8.81404,390.09024
8850,8750,25.6836,12.15002,7.40502,370.90057
8900,8750,23.49283,11.0746,5.80675,353.28556
8950,8750,21.92633,10.19642,4.63938,338.0887
9000,8750,20.96559,9.21537,4.04961,326.31066
9050,8750,20.56259,8.10769,4.2053,317.87644
9100,8750,20.19839,7.15169,4.53377,311.52304
9150,8750,19.83705,6.09038,4.65506,310.15657
9200,8750,19.99778,5.40444,4.64692,326.51151
9250,8750,20.67505,6.46435,4.94602,383.63984
9300,8750,22.44408,7.45614,5.55035,451.02246
9350,8750,24.48662,7.73323,6.27138,501.15791
9400,8750,25.08427,7.12129,6.29585,510.00751
9450,8750,22.32114,5.10074,4.13979,457.46716
9500,8750,17.84013,2.59223,1.57397,373.0415
9550,8750,14.71677,0.06519,-0.22586,294.47115
9600,8750,16.91894,-2.74232,-0.62232,259.02146
9650,8750,9.86194,-2.15736,-1.91597,214.79272
9700,8750,3.68189,-1.26438,-2.20078,182.57857
9750,8750,-0.95917,-0.92746,-1.95426,145.03955
9800,8750,-3.76241,-1.49651,-1.86686,92.98596
9850,8750,-3.79831,-0.6555,-1.30944,76.29611
9900,8750,-2.78096,0.49393,-1.50252,59.07808
8650,8700,25.04601,11.02281,7.65852,359.10182
8700,8700,23.02524,9.45559,7.0873,340.53178
