X,Y,COND1,COND2,COND3,COND4,COND5,COND6
144.1387772,204.7611651,6.42672,5.97635,5.52627,6.60845,6.2663,7.08188
145.1397409,204.7611651,6.30547,5.95796,5.5452,6.66142,6.37115,7.21759
146.1407047,204.7611651,6.18422,5.93957,5.56413,6.71439,6.47601,7.3533
147.1416684,204.7611651,6.06296,5.92118,5.58307,6.76736,6.58087,7.489
148.1426321,204.7611651,6.37118,6.23778,5.88627,7.02943,6.84176,7.72877
149.1435959,204.7611651,6.91837,6.74077,6.34766,7.40785,7.18948,8.02642
150.1445596,204.7611651,7.46556,7.24376,6.80905,7.78627,7.5372,8.32408
151.1455233,204.7611651,8.01275,7.74676,7.27044,8.1647,7.88492,8.62174
152.146487,204.7611651,8.53662,8.29574,7.80119,8.62843,8.3537,9.05791
153.1474508,204.7611651,9.04773,8.86987,8.36989,9.13885,8.8887,9.56987
154.1484145,204.7611651,9.55885,9.44401,8.93859,9.64927,9.42371,10.08182
155.1493782,204.7611651,10.06996,10.01815,9.5073,10.15969,9.95872,10.59378
156.150342,204.7611651,10.20129,9.97224,9.62228,10.41829,10.44289,11.20987
157.1513057,204.7611651,10.1283,9.59276,9.49316,10.54142,10.89972,11.88198
158.1522694,204.7611651,10.05531,9.21328,9.36405,10.66455,11.35654,12.55409
159.1532332,204.7611651,9.98233,8.8338,9.23493,10.78768,11.81337,13.22621
141.135886,203.7623302,5.94771,5.32374,4.82849,5.93243,5.4895,6.28964
142.1368497,203.7623302,5.99046,5.4944,5.02149,6.12886,5.72721,6.53993
143.1378135,203.7623302,6.03321,5.66506,5.21449,6.32529,5.96493,6.79023
144.1387772,203.7623302,5.98762,5.7814,5.35159,6.46951,6.14512,6.98346
145.1397409,203.7623302,5.89204,5.867,5.45705,6.58417,6.29276,7.14442
146.1407047,203.7623302,5.79646,5.95261,5.56251,6.69884,6.4404,7.30537
147.1416684,203.7623302,5.70089,6.03822,5.66797,6.81351,6.58804,7.46632
148.1426321,203.7623302,6.06212,6.40628,6.018,7.11357,6.88322,7.73493
149.1435959,203.7623302,6.67754,6.93152,6.50411,7.51678,7.26049,8.06343
150.1445596,203.7623302,7.29295,7.45676,6.99022,7.91999,7.63777,8.39192
151.1455233,203.7623302,7.90837,7.98199,7.47633,8.3232,8.01504,8.72042
152.146487,203.7623302,8.40017,8.42191,7.90319,8.69772,8.3958,9.07632
153.1474508,203.7623302,8.82432,8.81514,8.29764,9.05653,8.77846,9.4472
154.1484145,203.7623302,9.24848,9.20837,8.69209,9.41534,9.16112,9.81808
155.1493782,203.7623302,9.67263,9.6016,9.08654,9.77416,9.54379,10.18896
156.150342,203.7623302,9.83787,9.53077,9.20165,10.0569,10.08622,10.88442
157.1513057,203.7623302,9.86381,9.21029,9.16647,10.29872,10.7146,11.75451
158.1522694,203.7623302,9.88975,8.8898,9.13129,10.54055,11.34299,12.62459
159.1532332,203.7623302,9.91568,8.56931,9.09611,10.78237,11.97138,13.49468
139.1339585,202.7634952,5.90525,4.96732,4.44807,5.5645,5.0675,5.85977
140.1349223,202.7634952,5.95606,5.10753,4.60494,5.72271,5.25722,6.05844
141.135886,202.7634952,5.96829,5.3083,4.82065,5.93262,5.4996,6.30642
142.1368497,202.7634952,5.98053,5.50906,5.03635,6.14253,5.74199,6.55439
143.1378135,202.7634952,5.99277,5.70983,5.25206,6.35244,5.98437,6.80236
144.1387772,202.7634952,5.94698,5.81643,5.3818,6.49227,6.16302,6.99632
145.1397409,202.7634952,5.86835,5.86974,5.4629,6.59246,6.30562,7.15971
146.1407047,202.7634952,5.78972,5.92305,5.54399,6.69265,6.44821,7.3231
147.1416684,202.7634952,5.71109,5.97636,5.62509,6.79284,6.59081,7.48649
148.1426321,202.7634952,6.04403,6.28449,5.91855,7.04484,6.83933,7.71311
149.1435959,202.7634952,6.60598,6.73442,6.33018,7.38132,7.14681,7.97493
150.1445596,202.7634952,7.16793,7.18435,6.74181,7.71779,7.45428,8.23674
151.1455233,202.7634952,7.72988,7.63428,7.15344,8.05426,7.76175,8.49855
152.146487,202.7634952,8.11963,7.99461,7.5081,8.3704,8.09012,8.81063
153.1474508,202.7634952,8.41515,8.30592,7.83161,8.67541,8.42993,9.15022
154.1484145,202.7634952,8.71067,8.61723,8.15511,8.98042,8.76975,9.4898
155.1493782,202.7634952,9.00619,8.92854,8.47861,9.28544,9.10956,9.82939
156.150342,202.7634952,9.15753,8.88352,8.59854,9.55243,9.60794,10.46296
157.1513057,202.7634952,9.2313,8.64679,8.60895,9.79897,10.19163,11.25468
158.1522694,202.7634952,9.30508,8.41005,8.61936,10.04551,10.77532,12.04641
159.1532332,202.7634952,9.37885,8.17332,8.62977,10.29205,11.35901,12.83814
136.1310674,201.7646603,5.62449,4.61423,4.13057,5.31076,4.84435,5.67693
137.1320311,201.7646603,5.76998,4.71859,4.2349,5.40534,4.94477,5.77395
138.1329948,201.7646603,5.91547,4.82294,4.33924,5.49992,5.04519,5.87097
139.1339585,201.7646603,6.06096,4.9273,4.44358,5.5945,5.14562,5.96798
140.1349223,201.7646603,6.11014,5.12191,4.63926,5.77295,5.33654,6.15346
141.135886,201.7646603,6.10391,5.36845,4.8875,5.99966,5.57953,6.38982
142.1368497,201.7646603,6.09767,5.61499,5.13574,6.22637,5.82252,6.62618
143.1378135,201.7646603,6.09144,5.86153,5.38398,6.45308,6.06551,6.86254
144.1387772,201.7646603,6.04782,5.93313,5.48477,6.57247,6.23031,7.04869
145.1397409,201.7646603,5.98305,5.90574,5.50213,6.63113,6.35088,7.20641
146.1407047,201.7646603,5.91827,5.87836,5.51948,6.68979,6.47145,7.36414
147.1416684,201.7646603,5.8535,5.85097,5.53683,6.74844,6.59201,7.52187
148.1426321,201.7646603,6.12927,6.05961,5.73702,6.92184,6.76515,7.68137
149.1435959,201.7646603,6.59454,6.39959,6.03894,7.15907,6.96753,7.84186
150.1445596,201.7646603,7.05981,6.73957,6.34085,7.3963,7.16992,8.00235
151.1455233,201.7646603,7.52507,7.07954,6.64277,7.63353,7.3723,8.16284
152.146487,201.7646603,7.78792,7.37077,6.9365,7.90224,7.66095,8.44406
153.1474508,201.7646603,7.94,7.63531,7.22574,8.18819,7.99679,8.79133
154.1484145,201.7646603,8.09209,7.89985,7.51497,8.47413,8.33263,9.1386
155.1493782,201.7646603,8.24418,8.1644,7.80421,8.76007,8.66848,9.48588
156.150342,201.7646603,8.36465,8.16319,7.93064,8.99714,9.08648,10.00739
157.1513057,201.7646603,8.46811,8.019,7.96946,9.20793,9.54868,10.62263
158.1522694,201.7646603,8.57158,7.87482,8.00829,9.41871,10.01088,11.23788
159.1532332,201.7646603,8.67504,7.73063,8.04712,9.62949,10.47308,11.85312
160.1541969,201.7646603,8.73645,7.74665,8.08568,9.68609,10.56256,11.96036
133.1281762,200.7658253,5.5612,4.50515,4.0691,5.3007,4.89567,5.77039
134.1291399,200.7658253,5.57251,4.40013,3.98913,5.25223,4.87682,5.77526
135.1301036,200.7658253,5.58382,4.2951,3.90916,5.20376,4.85797,5.78013
136.1310674,200.7658253,5.69724,4.36598,3.97686,5.26209,4.91578,5.83306
137.1320311,200.7658253,5.87038,4.53975,4.13093,5.38289,5.01843,5.91411
138.1329948,200.7658253,6.04353,4.71351,4.285,5.5037,5.12108,5.99515
139.1339585,200.7658253,6.21667,4.88728,4.43908,5.6245,5.22374,6.0762
140.1349223,200.7658253,6.26422,5.1363,4.67358,5.8232,5.41586,6.24847
141.135886,200.7658253,6.23952,5.42861,4.95436,6.06671,5.65945,6.47322
142.1368497,200.7658253,6.21482,5.72092,5.23513,6.31022,5.90305,6.69797
143.1378135,200.7658253,6.19012,6.01323,5.51591,6.55373,6.14664,6.92272
144.1387772,200.7658253,6.14867,6.04983,5.58775,6.65266,6.2976,7.10105
145.1397409,200.7658253,6.09775,5.94175,5.54136,6.66979,6.39614,7.25312
146.1407047,200.7658253,6.04683,5.83367,5.49497,6.68692,6.49468,7.40518
147.1416684,200.7658253,5.99591,5.72558,5.44858,6.70405,6.59322,7.55725
148.1426321,200.7658253,6.21452,5.83473,5.55549,6.79883,6.69096,7.64963
149.1435959,200.7658253,6.5831,6.06476,5.74769,6.93682,6.78826,7.70879
150.1445596,200.7658253,6.95168,6.29478,5.9399,7.07481,6.88556,7.76796
151.1455233,200.7658253,7.32026,6.52481,6.13211,7.2128,6.98285,7.82713
152.146487,200.7658253,7.45621,6.74692,6.36489,7.43409,7.23177,8.07749
153.1474508,200.7658253,7.46486,6.9647,6.61986,7.70096,7.56365,8.43245
154.1484145,200.7658253,7.47351,7.18248,6.87484,7.96783,7.89552,8.78741
155.1493782,200.7658253,7.48217,7.40025,7.12982,8.23471,8.2274,9.14237
156.150342,200.7658253,7.57177,7.44286,7.26273,8.44186,8.56502,9.55182
157.1513057,200.7658253,7.70493,7.39122,7.32998,8.61689,8.90573,9.99058
158.1522694,200.7658253,7.83808,7.33958,7.39723,8.79191,9.24644,10.42934
159.1532332,200.7658253,7.97124,7.28795,7.46447,8.96694,9.58715,10.86811
160.1541969,200.7658253,8.12863,7.38571,7.58177,9.09203,9.74543,11.03905
130.125285,199.7669904,5.79967,4.69615,4.19306,5.34878,4.85943,5.67361
131.1262487,199.7669904,5.91212,4.7289,4.24608,5.4163,4.95754,5.78708
132.1272124,199.7669904,5.90529,4.61921,4.1762,5.39114,4.98265,5.84803
133.1281762,199.7669904,5.82752,4.42482,4.03324,5.31085,4.96436,5.87774
134.1291399,199.7669904,5.74976,4.23043,3.89028,5.23057,4.94607,5.90746
135.1301036,199.7669904,5.672,4.03604,3.74731,5.15028,4.92778,5.93717
136.1310674,199.7669904,5.76999,4.11773,3.82314,5.21342,4.98721,5.98919
137.1320311,199.7669904,5.97079,4.3609,4.02695,5.36044,5.09209,6.05427
138.1329948,199.7669904,6.17158,4.60408,4.23077,5.50747,5.19697,6.11934
139.1339585,199.7669904,6.37238,4.84726,4.43458,5.6545,5.30186,6.18441
140.1349223,199.7669904,6.41831,5.15068,4.7079,5.87344,5.49518,6.34348
141.135886,199.7669904,6.37513,5.48876,5.02121,6.13375,5.73938,6.55662
142.1368497,199.7669904,6.33196,5.82685,5.33452,6.39406,5.98358,6.76976
143.1378135,199.7669904,6.28879,6.16493,5.64784,6.65437,6.22778,6.98291
144.1387772,199.7669904,6.24952,6.16654,5.69072,6.73285,6.36489,7.15342
145.1397409,199.7669904,6.21245,5.97776,5.58059,6.70845,6.4414,7.29982
146.1407047,199.7669904,6.17538,5.78897,5.47045,6.68405,6.51791,7.44622
147.1416684,199.7669904,6.13832,5.60019,5.36032,6.65965,6.59442,7.59263
148.1426321,199.7669904,6.29976,5.60985,5.37395,6.67582,6.61677,7.61788
149.1435959,199.7669904,6.57166,5.72993,5.45645,6.71457,6.60898,7.57573
150.1445596,199.7669904,6.84355,5.85,5.53895,6.75331,6.60119,7.53358
151.1455233,199.7669904,7.11545,5.97008,5.62145,6.79206,6.59341,7.49142
152.146487,199.7669904,7.1245,6.12308,5.79328,6.96593,6.80259,7.71091
153.1474508,199.7669904,6.98972,6.29409,6.01399,7.21373,7.1305,8.07356
154.1484145,199.7669904,6.85493,6.4651,6.23471,7.46154,7.45841,8.43621
155.1493782,199.7669904,6.72015,6.63611,6.45542,7.70934,7.78632,8.79886
156.150342,199.7669904,6.77889,6.72253,6.59483,7.88658,8.04356,9.09625
157.1513057,199.7669904,6.94174,6.76344,6.69049,8.02585,8.26278,9.35853
158.1522694,199.7669904,7.10458,6.80435,6.78616,8.16512,8.482,9.62081
159.1532332,199.7669904,7.26743,6.84526,6.88183,8.30439,8.70122,9.88309
160.1541969,199.7669904,7.52081,7.02477,7.07785,8.49796,8.92831,10.11774
127.1223938,198.7681554,5.49542,4.68253,4.11624,5.2185,4.63875,5.40214
128.1233575,198.7681554,5.56626,4.71576,4.17441,5.29515,4.75264,5.53515
129.1243212,198.7681554,5.67436,4.70709,4.19171,5.33576,4.82959,5.63345
130.125285,198.7681554,5.78245,4.69842,4.20901,5.37637,4.90655,5.73174
131.1262487,198.7681554,5.89055,4.68975,4.22631,5.41698,4.9835,5.83003
132.1272124,198.7681554,5.89165,4.5966,4.16958,5.40047,5.0134,5.89247
133.1281762,198.7681554,5.82912,4.45322,4.06882,5.35001,5.01531,5.93359
134.1291399,198.7681554,5.76659,4.30984,3.96806,5.29954,5.01722,5.97471
135.1301036,198.7681554,5.70407,4.16646,3.8673,5.24908,5.01913,6.01583
136.1310674,198.7681554,5.78629,4.24914,3.94554,5.31574,5.08413,6.07453
137.1320311,198.7681554,5.95318,4.46406,4.12847,5.45091,5.18603,6.14352
138.1329948,198.7681554,6.12008,4.67898,4.3114,5.58608,5.28793,6.21252
139.1339585,198.7681554,6.28697,4.8939,4.49433,5.72126,5.38983,6.28151
140.1349223,198.7681554,6.3379,5.16238,4.73714,5.91678,5.56406,6.42621
141.135886,198.7681554,6.32213,5.46167,5.0144,6.14703,5.7799,6.61446
142.1368497,198.7681554,6.30635,5.76095,5.29165,6.37727,5.99573,6.80272
143.1378135,198.7681554,6.29057,6.06024,5.5689,6.60752,6.21157,6.99098
144.1387772,198.7681554,6.26587,6.0734,5.61548,6.6818,6.33397,7.14003
145.1397409,198.7681554,6.23611,5.92467,5.53153,6.66783,6.4035,7.26691
146.1407047,198.7681554,6.20636,5.77595,5.44758,6.65387,6.47304,7.39379
